pair,date,hedge_ratio,spread,spread_return,spread_momentum_5,spread_momentum_20,spread_zscore_20,spread_zscore_60,spread_percentile_60,spread_percentile_120,distance_from_mean_20,distance_from_mean_60,zscore_change,spread_volatility_20,spread_volatility_60,realized_volatility,vol_regime_high,vol_regime_low,vol_regime_medium,trend_bullish,trend_bearish,rolling_half_life,rolling_mean_reversion_speed,distance_from_equilibrium,rolling_correlation_20,rolling_correlation_60,rolling_beta,rolling_adf_statistic,rolling_adf_pvalue,rolling_skew,rolling_kurtosis,target
HD-MA,2022-06-24,0.7775562858941975,6.328910804163343,-3.5410520066336346,-7.817607637168322,2.89265803605673,0.10946661141570037,0.11254443168341052,0.5833333333333334,0.325,0.5453188494418582,0.6946603717326125,-0.5672943901295271,5.052903767095711,5.56673065539899,80.21236059886012,0,1,0,1,0,10.422960324477975,0.06650194944445027,0.6946603717326125,0.9596077695171391,0.8827392158899731,0.5427471218333704,-2.706600891622583,0.07290297519258081,0.39869978620850466,0.7385947129415491,0.0
HD-MA,2022-06-27,0.7775562858941975,7.315013401563618,0.9861025974002757,-2.900199444766997,-0.5727441042893417,0.31386345932998866,0.2633481984517717,0.6166666666666667,0.35,1.5600586520566013,1.6254549290944142,0.15080376676836119,4.955928766048112,5.539431400918421,78.67293018188707,0,1,0,1,0,9.60342418611133,0.07217708674811939,1.6254549290944142,0.9614974555879895,0.8831485696332709,0.5433481202665813,-2.8605323028834584,0.050133818277263986,0.3632743534666857,0.7826568041092709,0.0
HD-MA,2022-06-28,0.7775562858941975,3.918363921237301,-3.3966494803263174,0.18787894982972375,-3.082892488712446,-0.3380024965748685,-0.30151499103432966,0.43333333333333335,0.24166666666666667,-1.6824462038340942,-1.8459303538960175,-0.5648631894861014,5.010283649568237,5.524987359739374,79.53578720790387,0,1,0,0,1,9.527471766539623,0.07275247804924184,-1.8459303538960175,0.9608581766487871,0.888484532219667,0.5584560313928445,-2.784663723679668,0.06049805952548882,0.3611778116438679,0.8122207657354195,0.0
HD-MA,2022-06-29,0.7775562858941975,4.0352639990429395,0.1169000778056386,-0.44421315598611955,2.2599504227185037,-0.34176393994196863,-0.30780956433301593,0.43333333333333335,0.25833333333333336,-1.6785436471643802,-1.85043963705977,-0.006294573298686268,4.865987931121314,5.513107290777428,77.24516369033215,0,1,0,0,1,8.675248179938071,0.07989940647033954,-1.85043963705977,0.9573268340880736,0.8928652464623978,0.5722838358438834,-2.9787150293382205,0.03693052885333813,0.3394392818245056,0.8326067885240108,0.0
HD-MA,2022-06-30,0.7775562858941975,9.796352273302091,5.761088274259151,-0.07361053749488633,10.732724446059308,0.749738410588804,0.6250119740215145,0.7666666666666667,0.4583333333333333,3.5459084047918052,3.7116204826826564,0.9328215383545304,4.974734221763359,5.559761393700479,78.97145753656977,0,1,0,1,0,9.215562761862289,0.07521485105917433,3.7116204826826564,0.9582652026828432,0.897508223679205,0.5799963830051794,-2.7056179984054323,0.07307114514206708,0.30584001126163396,0.7005856739059799,0.0
HD-MA,2022-07-01,0.7775562858941975,12.073117944439446,2.2767656711373547,5.744207140276103,9.690110329200365,1.1102284283478674,0.9753744720045735,0.8166666666666667,0.5,5.338168559469142,5.785934087667633,0.35036249798305896,4.949437328482511,5.5609970915656275,78.56988180518778,0,1,0,1,0,8.726315144708439,0.07943182993800811,5.785934087667633,0.9491442197709616,0.8993667381019509,0.5812376765017728,-2.781024090662268,0.06103588257456981,0.3039707052904335,0.696477345125769,0.0
HD-MA,2022-07-05,0.7775562858941975,15.525420826366513,3.452302881927068,8.210407424802895,9.867264908768192,1.6006897901175785,1.496687354406679,0.9333333333333333,0.5666666666666667,8.2971081959578,9.006551506597567,0.5213128824021055,4.95485000229533,5.573589852917839,78.65580533820756,0,1,0,1,0,8.399744826022523,0.08252002827664073,9.006551506597567,0.9306774375379198,0.8992854082661697,0.576913461673001,-3.0935783005479265,0.02703208747095793,0.2887741941158075,0.6571585448632474,0.0
HD-MA,2022-07-06,0.7775562858941975,14.698248777186706,-0.8271720491798078,10.779884855949405,11.882924063103559,1.2900256260520229,1.321377791455644,0.9,0.5583333333333333,6.875789943622815,8.069268346288016,-0.17530956295103506,4.903654428514221,5.514512340193873,77.84310079949512,0,1,0,1,0,7.697115971882607,0.09005284357050049,8.069268346288016,0.9021861111808838,0.899205896893231,0.5712754829210119,-3.0405200315883905,0.03127972660207298,0.3411111046729199,0.8216398318253366,0.0
HD-MA,2022-07-07,0.7775562858941975,14.187233306138495,-0.5110154710482107,10.151969307095555,16.244486011507803,1.1170322438461462,1.2335586505684817,0.85,0.5416666666666666,5.552550171999213,7.548093956776076,-0.08781914088716225,4.742061856464186,5.4695859802410185,75.27789824333705,0,1,0,1,0,7.551674563981255,0.09178721549601801,7.548093956776076,0.8563523395467922,0.901475744358336,0.5624894990031779,-2.941742719471829,0.04070477800190993,0.3896306027636994,0.9647906698697775,0.0
HD-MA,2022-07-08,0.7775562858941975,14.755275578873068,0.5680422727345729,4.958923305570977,19.383399536012007,1.2707425556220715,1.3162641223402671,0.9166666666666666,0.5833333333333334,5.151422467933186,8.092423720693429,0.08270547177178544,4.675679026402288,5.469950104044694,74.22410348532638,0,1,0,1,0,8.928229177076492,0.07763546015817138,8.092423720693429,0.8312765755623672,0.9035147534003376,0.5559066725025323,-2.6606592403005376,0.08109682128373269,0.38188335801234785,0.9596033654626425,0.0
