Pair,Sharpe (Before Costs),Sharpe (After Costs),CAGR (Before Costs),CAGR (After Costs),Max Drawdown (Before Costs),Max Drawdown (After Costs),Trades,Win Rate,Total Gross PnL,Total Net PnL,Total Cost,Cost vs Gross Profit %,Half Life,Sharpe Rank,Drawdown Rank,Half-Life Rank,Trades Rank,Research Score
CVX-WFC,0.8075706187862457,0.7569881659537463,,,-0.18029141227695986,-0.18401596679384077,8,75.0,32.39918011167906,30.221494391710753,2.177685719968307,6.721422309027222,42.976351493624364,13.0,15.0,24.0,17.0,69.0
CVX-GS,0.4156717001897687,0.37015353534593587,,,-0.17164340103967202,-0.1753857637057716,7,85.71428571428571,16.1587193559743,14.228401155405415,1.9303182005688821,11.94598506257981,23.53384241469733,19.0,11.0,14.0,27.5,71.5
LOW-MA,0.3387572073006925,0.29250459595419054,,,-0.25156371582671133,-0.25519785975990067,7,71.42857142857143,18.568062562872,15.803037990096417,2.765024572775585,14.891292849822815,21.082124893262232,22.0,22.0,8.0,27.5,79.5
CVX-GOOGL,0.5656106308954812,0.5226942541681324,,,-0.41734246534304753,-0.41867019068463024,9,77.77777777777779,32.780995446773844,30.28626509935742,2.494730347416429,7.610294664379843,47.30520651512884,17.0,28.0,27.0,8.0,80.0
META-MSFT,0.5712998596757037,0.52442736308221,,,-0.38520214298447303,-0.395611246517795,9,77.77777777777779,46.99000676720647,43.136352205783375,3.8536545614230917,8.201008738974034,63.62090682099638,16.0,27.0,30.0,8.0,81.0
LOW-NFLX,0.3877849382749606,0.3529451859652987,,,-0.3026607567546809,-0.306548187374116,8,75.0,31.30913100647635,28.441873656000976,2.8672573504753722,9.157895023922174,40.00888579442906,20.0,24.0,22.0,17.0,83.0
LOW-V,0.3261598572170118,0.2742556970534033,,,-0.23672780038629448,-0.24114867391499226,7,57.14285714285714,17.290250963278538,14.534385046340727,2.7558659169378092,15.938842777879774,23.121621304635116,24.0,20.0,13.0,27.5,84.5
CVX-V,0.14308841659424149,0.09890153120209737,,,-0.1636502117041638,-0.16383930172724248,7,57.14285714285714,5.864550665869061,3.888432814772692,1.976117851096368,33.69598053943199,41.105308953370965,27.0,9.0,23.0,27.5,86.5
CVX-MA,0.4437016883709168,0.39560878492198226,,,-0.25399170719073194,-0.2542930449089927,7,71.42857142857143,17.216782107370832,15.191485983818923,2.02529612355191,11.763499769709243,38.72123705447514,18.0,21.0,21.0,27.5,87.5
NFLX-NVDA,0.30251960125891253,0.2803277784431786,,,-0.1465096280301165,-0.14708545332766743,6,66.66666666666666,5.503821138393503,5.091671008453173,0.4121501299403304,7.48843611695986,43.14500216746741,23.0,5.0,25.0,35.0,88.0
LOW-MSFT,0.18027031515749986,0.2632028191596072,,,-0.33745304413290644,-0.3273281494603124,9,66.66666666666666,11.484918695762332,8.03521004602047,3.4497086497418605,30.036857387721195,67.73107669352012,25.0,25.0,31.0,8.0,89.0
HD-PEP,0.021353760797921856,-0.029035155354547832,,,-0.44329305238906386,-0.4591985156241541,8,50.0,1.7833773901499512,-2.694593296226465,4.477970686376421,251.09495674383874,25.623599829413493,29.0,29.0,15.0,17.0,90.0
CVX-JPM,0.35283281335912897,0.29271546004267734,,,-0.18459207279987974,-0.18885088665750271,7,85.71428571428571,10.814199079991425,8.831615860573155,1.982583219418277,18.333148897605174,54.080532560027606,21.0,16.0,28.0,27.5,92.5
HD-NFLX,0.2856866493151051,0.25026111684810287,,,-0.48988182548381165,-0.49877637575333966,8,75.0,33.672866291523576,29.500221867255952,4.172644424267625,12.391711439539671,47.13297415431679,26.0,31.0,26.0,17.0,100.0
HD-MSFT,0.05527774393650426,0.08535630472049505,,,-0.5244023237698398,-0.5229111175315989,8,50.0,4.982002111263142,0.5037306691258934,4.478271442137247,89.88899125540156,67.95185496231724,28.0,32.0,33.0,17.0,110.0
NFLX-V,-0.791822077558417,-0.8092750264931896,,,-0.2596361213008746,-0.2629831437392892,6,50.0,-19.328932037059634,-19.72805967862805,0.3991276415684202,0.0,30.213612885626407,38.0,23.0,18.0,35.0,114.0
CVX-MSFT,-0.3461021145333279,-0.38053700883137026,,,-0.36367966248097144,-0.37812552365746493,7,42.857142857142854,-20.02156811355937,-21.987538993726204,1.9659708801668363,0.0,67.85555319002749,31.0,26.0,32.0,27.5,116.5
LOW-NVDA,-0.3923755064092623,-0.3876793591717453,,,-1.0865497988234585,-1.0664133452900733,8,62.5,-45.50604310153325,-48.568181695510916,3.062138593977675,0.0,1364.6454837486008,32.0,34.0,40.0,17.0,123.0
MA-NVDA,-0.31308324285096906,-0.34103921118137986,,,-1.5676755722817206,-1.5941780732560025,8,75.0,-59.127919880169685,-64.33675829633526,5.208838416165556,0.0,1088.1710774714988,30.0,38.0,39.0,17.0,124.0
DIS-XOM,-0.7071081982087033,-0.7329388187584435,,,-0.4844120034465041,-0.48855884920826675,6,33.33333333333333,-31.65497854066578,-32.83418562129356,1.1792070806277788,0.0,59.03533549484303,35.0,30.0,29.0,35.0,129.0
MA-NFLX,-0.7901021425582879,-0.8053216978401424,,,-2.494064635635226,-2.520605999014576,5,40.0,-188.9216704851716,-192.33705019533932,3.4153797101677115,0.0,30.31659571661981,37.0,41.0,19.0,39.5,136.5
HD-NVDA,-0.5203382404904731,-0.539956378005654,,,-1.4947844836511441,-1.5057929361450537,6,83.33333333333334,-84.16111158684953,-87.44854200522394,3.287430418374423,0.0,620.0514530393506,33.0,37.0,37.0,35.0,142.0
CVX-NVDA,-0.7475597325222689,-0.764987993016799,,,-1.0008296236406038,-1.0081965041808112,6,33.33333333333333,-64.42665420078059,-66.01582233926355,1.5891681384829677,0.0,739.877181171063,36.0,33.0,38.0,35.0,142.0
MA-META,-0.5418472646392672,-0.5684129511969482,,,-1.604207775761718,-1.620976516187403,6,66.66666666666666,-89.5878674831759,-93.73630507740145,4.148437594225546,0.0,88.713931744765,34.0,39.0,34.0,35.0,142.0
CVX-META,-1.3581114227207516,-1.3789081387407833,,,-1.0777792572577907,-1.084948808548469,6,33.33333333333333,-104.78758656767623,-106.42931185897423,1.6417252912980191,0.0,98.16340146382498,40.0,35.0,35.0,35.0,145.0
AAPL-NVDA,-0.9109428492041313,-0.9290525622187998,,,-1.1494722833343323,-1.157775019652946,5,40.0,-79.63826358652223,-81.10615274574293,1.4678891592207024,0.0,3921.058098417184,39.0,36.0,41.0,39.5,155.5
HD-META,-1.6289839712311727,-1.6459118478202774,,,-2.3335291334525397,-2.35112402349957,4,25.0,-228.91070474233615,-231.0020926003544,2.0913878580182397,0.0,192.37920863929975,41.0,40.0,36.0,41.0,158.0
