Entry,Exit,Sharpe,PnL,Trades
2.0,0.25,1.7696710245268898,145.25994409124797,10
2.0,0.5,1.5211875906611796,122.37298462987032,10
2.0,1.0,1.513439530367704,92.6720390196974,11
3.0,0.25,1.3972734388343626,44.48464761210954,2
1.5,0.25,1.3812725788741396,126.45865742542121,13
2.0,0.75,1.343026457368744,105.31102903969668,10
3.0,0.5,1.2227249541016132,37.07428082173861,2
1.5,0.5,1.1007175668858307,98.92747014821876,13
2.5,0.25,1.0960879393609775,53.6734480266998,4
3.0,0.75,1.0321866871949048,29.453232739140535,2
3.0,1.0,1.0321866871949048,29.453232739140535,2
1.5,1.0,0.9698248050587868,72.03724993886505,16
2.5,0.5,0.8738278280196657,41.463718482836285,4
1.5,0.75,0.8604591294845497,75.08905665215687,13
2.5,0.75,0.5814742453095708,25.97950155744513,4
2.5,1.0,0.5613407692672174,23.771626995784853,4
