Date,Portfolio Equity
2022-03-29,100.0
2022-03-30,100.0
2022-03-31,100.0
2022-04-01,100.0
2022-04-04,100.0
2022-04-05,100.0
2022-04-06,100.0
2022-04-07,100.0
2022-04-08,100.0
2022-04-11,100.0
2022-04-12,100.0
2022-04-13,100.0
2022-04-14,100.0
2022-04-18,100.0
2022-04-19,100.0
2022-04-20,100.0
2022-04-21,100.0
2022-04-22,100.0
2022-04-25,100.0
2022-04-26,100.0
2022-04-27,100.0
2022-04-28,99.35098757747718
2022-04-29,100.21192373273222
2022-05-02,101.2090453661156
2022-05-03,102.13720980817395
2022-05-04,102.25049737956633
2022-05-05,103.98700244415791
2022-05-06,105.26119086942869
2022-05-09,106.4481926113419
2022-05-10,107.2502952423667
2022-05-11,108.85591221502636
2022-05-12,107.48126716750328
2022-05-13,107.42183734813744
2022-05-16,107.10257165720395
2022-05-17,107.6962207786501
2022-05-18,108.1936054092292
2022-05-19,107.8324784465771
2022-05-20,107.64562257168413
2022-05-23,109.38871229279752
2022-05-24,109.9065244678776
2022-05-25,110.55320883804747
2022-05-26,110.71319113192928
2022-05-27,110.8595599349086
2022-05-31,110.05194746882955
2022-06-01,110.18214677296271
2022-06-02,111.06357062049635
2022-06-03,111.02272101465624
2022-06-06,111.02272101465624
2022-06-07,111.02272101465624
2022-06-08,111.02272101465624
2022-06-09,111.02272101465624
2022-06-10,111.02272101465624
2022-06-13,111.15875900234315
2022-06-14,110.98632282504128
2022-06-15,112.60608998700411
2022-06-16,113.9668886487602
2022-06-17,115.36506601271132
2022-06-21,116.33658334695892
2022-06-22,116.03669473114645
2022-06-23,114.81073823294969
2022-06-24,116.13999009731324
2022-06-27,115.78233206185332
2022-06-28,117.09866782136422
2022-06-29,117.06136070556873
2022-06-30,117.90367262274617
2022-07-01,118.28135661666525
2022-07-05,118.80184151546203
2022-07-06,118.75351717237186
2022-07-07,119.61559038457125
2022-07-08,118.83283463888984
2022-07-11,117.83036463355037
2022-07-12,117.67930159148594
2022-07-13,117.88343719664442
2022-07-14,116.17223777841669
2022-07-15,119.58416580980308
2022-07-18,121.31270406889368
2022-07-19,122.40733508561286
2022-07-20,122.70698345703732
2022-07-21,122.67564849119277
2022-07-22,123.20702814201886
2022-07-25,123.09155672387561
2022-07-26,122.8938666188663
2022-07-27,125.03696471561601
2022-07-28,124.6765167595524
2022-07-29,124.6983593319369
2022-08-01,124.50497546314219
2022-08-02,124.89908915309572
2022-08-03,124.84218920192747
2022-08-04,123.61003650286166
2022-08-05,124.14964328456767
2022-08-08,124.19954208733895
2022-08-09,125.02968863898178
2022-08-10,125.5575234277002
2022-08-11,125.52191342978693
2022-08-12,125.78150042644309
2022-08-15,125.48788039204543
2022-08-16,127.33971738268811
2022-08-17,127.27364513021465
2022-08-18,127.10047330958044
2022-08-19,127.23078304192873
2022-08-22,126.85073763719973
2022-08-23,126.40863760601647
2022-08-24,126.35212998013975
2022-08-25,126.00723630071116
2022-08-26,125.6845001114857
2022-08-29,125.7538947277574
2022-08-30,125.3513829341893
2022-08-31,124.7643075637577
2022-09-01,125.88688132682451
2022-09-02,126.02308991436979
2022-09-06,126.45287320016308
2022-09-07,127.16426965450054
2022-09-08,126.09893521717748
2022-09-09,125.39265730031191
2022-09-12,124.37696664957184
2022-09-13,123.0923455066161
2022-09-14,122.79820690831934
2022-09-15,120.4105050294997
2022-09-16,122.42413451518865
2022-09-19,122.85061834534898
2022-09-20,123.07597955977124
2022-09-21,124.23663468719903
2022-09-22,125.89882294942879
2022-09-23,128.80257205468757
2022-09-26,128.66288368710863
2022-09-27,128.66463145183968
2022-09-28,128.2592326401594
2022-09-29,129.35408045046688
2022-09-30,129.6320652015919
