Pair,Sharpe (Before Costs),Sharpe (After Costs),CAGR (Before Costs),CAGR (After Costs),Max Drawdown (Before Costs),Max Drawdown (After Costs),Trades,Win Rate,Total Gross PnL,Total Net PnL,Total Cost,Cost vs Gross Profit %,Half Life,Train End,Test End
LOW-WFC,1.8677021103921296,1.7985399155318393,,,-0.1660921879705965,-0.16634944140730848,2,100.0,18.53436304114399,17.763179787885107,0.7711832532588833,4.160829544273801,18.978454296717427,2023-01-03,2023-07-06
LOW-PEP,3.712347919230777,3.6163976532007447,,,-0.034050390093909,-0.03411129093937456,2,100.0,26.513012236135893,25.724601984340577,0.7884102517953148,2.97367286965889,7.796158254011505,2023-07-06,2024-01-04
AMZN-NFLX,2.6416855501696865,2.572993507162167,,,-0.10543709291704159,-0.10561008049638648,2,100.0,21.569821435892266,20.8256121127935,0.7442093230987654,3.450234047187791,7.767476753894556,2024-01-04,2024-07-08
