Pair,Sharpe,Max Drawdown,Trades,Win Rate,Total PnL,Half Life
HD-WFC,0.5084391647317028,-0.5495878459698935,4,75.0,30.7285872240746,33.71416103827208
LOW-WFC,-0.36827805022992116,-0.41633047941977414,5,40.0,-20.626952772091784,36.31055027509094
GS-HD,-0.540965717382612,-0.9466912442005991,3,66.66666666666666,-31.20751378360086,60.47588762625388
MA-V,0.5624202558396582,-0.1720279475118681,5,60.0,14.94055366659478,23.499074913676893
JPM-V,1.8892252212013327,-0.13456720161411656,4,100.0,40.628520516800734,35.42018417194171
