Date,AAPL,AMZN,BAC,CVX,DIS,GOOGL,GS,HD,JPM,KO,LOW,MA,META,MSFT,NFLX,NVDA,PEP,V,WFC,XOM
2022-01-03,177.939697265625,170.4044952392578,41.4797477722168,99.5871810913086,153.15330505371094,143.802978515625,353.78643798828125,366.8866882324219,144.1916046142578,52.26767349243164,234.20436096191406,361.1985778808594,335.90399169921875,322.46234130859375,59.73699951171875,30.061140060424805,151.24041748046875,213.97042846679688,45.34504699707031,54.391048431396484
2022-01-04,175.681396484375,167.52200317382812,43.105533599853516,101.3991928100586,152.1470184326172,143.2158203125,364.6596984863281,370.6576232910156,149.6578369140625,53.1402587890625,238.1457977294922,365.52178955078125,333.90966796875,316.93304443359375,59.1150016784668,29.23179054260254,151.45895385742188,214.96571350097656,47.1506233215332,56.43693542480469
2022-01-05,171.00828552246094,164.35699462890625,42.37797546386719,102.05888366699219,151.61947631835938,136.64561462402344,356.7396240234375,365.6297302246094,146.9217987060547,53.58097457885742,233.50770568847656,364.0708923339844,321.6459045410156,304.7666931152344,56.75199890136719,27.54914093017578,151.974853515625,212.58856201171875,46.73945617675781,57.13886260986328
2022-01-06,168.15359497070312,163.25399780273438,43.23127365112305,102.9273452758789,153.2901153564453,136.61834716796875,355.2182922363281,364.301025390625,148.48269653320312,53.298919677734375,236.29421997070312,360.7461853027344,329.871337890625,302.35845947265625,55.32899856567383,28.121999740600586,152.0098114013672,212.3470001220703,47.93721389770508,58.48281478881836
2022-01-07,168.3197784423828,162.5540008544922,44.17440414428711,104.40535736083984,154.19873046875,135.8938446044922,355.73736572265625,353.3924255371094,149.95387268066406,53.17552947998047,230.1529083251953,360.4049377441406,329.20654296875,302.5125732421875,54.10599899291992,27.19285011291504,152.20217895507812,209.6510009765625,48.95620346069336,58.962158203125
2022-01-10,168.33935546875,161.48599243164062,43.94984817504883,104.47216796875,152.9970245361328,137.53277587890625,357.22296142578125,347.8708190917969,150.09739685058594,53.2636604309082,227.0364227294922,354.8084716796875,325.5155334472656,302.73406982421875,53.98500061035156,27.34554672241211,152.28086853027344,204.82911682128906,49.47463607788086,58.6112060546875
2022-01-11,171.16470336914062,165.36199951171875,44.20134735107422,106.86041259765625,154.25733947753906,138.59056091308594,360.6952209472656,347.1614990234375,150.24990844726562,53.28129196166992,228.6954803466797,357.1289978027344,331.7664489746094,303.41802978515625,54.08399963378906,27.76171875,152.21092224121094,207.1579132080078,50.109283447265625,61.076507568359375
2022-01-12,171.60464477539062,165.20700073242188,43.88697814941406,106.32597351074219,154.16940307617188,140.2711181640625,349.2940368652344,349.61248779296875,151.10214233398438,53.36061096191406,229.81373596191406,358.1235046386719,330.6651306152344,306.5873718261719,53.72200012207031,27.943355560302734,152.04478454589844,208.44313049316406,50.413177490234375,60.89674758911133
2022-01-13,168.33935546875,161.21400451660156,43.797157287597656,105.8833999633789,151.86370849609375,137.4509735107422,349.73248291015625,347.43994140625,150.91371154785156,53.67793273925781,229.79542541503906,360.27813720703125,323.93792724609375,293.6117248535156,51.91999816894531,26.522188186645508,152.2895965576172,207.75701904296875,50.05563735961914,60.46018600463867
2022-01-14,169.19961547851562,162.13800048828125,43.03367614746094,107.68709564208984,148.44422912597656,138.337158203125,340.90869140625,333.9903869628906,141.63804626464844,54.10981750488281,223.10415649414062,362.8326721191406,329.315673828125,298.8135681152344,52.569000244140625,26.888458251953125,153.56607055664062,207.4381561279297,51.896976470947266,61.52164077758789
2022-01-18,166.0027618408203,158.91749572753906,41.55160903930664,108.03781127929688,148.7666473388672,134.88320922851562,317.1576232910156,329.2499084472656,135.69949340820312,53.67793273925781,219.25086975097656,357.13873291015625,315.6727600097656,291.5406799316406,51.08000183105469,25.851520538330078,152.09727478027344,208.44313049316406,50.672393798828125,62.55741500854492
2022-01-19,162.5126190185547,156.2989959716797,41.713287353515625,107.64533996582031,146.6563262939453,134.00892639160156,310.8216857910156,322.9382629394531,133.60031127929688,53.766056060791016,215.8389892578125,351.7080383300781,317.1015625,292.1957092285156,51.58599853515625,25.017181396484375,153.1901397705078,207.44778442382812,49.67127990722656,62.58312225341797
2022-01-20,160.83103942871094,151.66749572753906,41.093505859375,107.2612075805664,144.22361755371094,132.2147216796875,311.5196533203125,313.8611755371094,132.46104431152344,53.54570770263672,205.9344940185547,354.8962707519531,314.0951843261719,290.5291748046875,50.82500076293945,24.10200309753418,152.07977294921875,207.12893676757812,49.16179656982422,62.720062255859375
2022-01-21,158.77804565429688,142.64300537109375,40.347999572753906,105.9752426147461,134.21922302246094,129.28298950195312,307.76995849609375,313.4302978515625,130.1466064453125,53.28129196166992,206.9369354248047,346.1993103027344,300.8094177246094,285.1636962890625,39.75,23.327547073364258,152.32456970214844,198.9925994873047,47.972965240478516,61.778446197509766
2022-01-24,158.00572204589844,144.54400634765625,40.015647888183594,106.20071411132812,134.29739379882812,129.73179626464844,307.30462646484375,326.63726806640625,130.02999877929688,52.84939193725586,213.67788696289062,340.68084716796875,306.3062744140625,285.49114990234375,38.71500015258789,23.32554817199707,151.54641723632812,195.05003356933594,47.66012191772461,62.30918884277344
2022-01-25,156.20684814453125,139.98599243164062,40.80608367919922,110.71827697753906,133.36923217773438,125.89449310302734,305.6579284667969,322.30078125,131.44735717773438,52.72599411010742,211.52590942382812,330.2874755859375,297.8128967285156,277.9004211425781,36.641998291015625,22.279638290405273,149.8065185546875,195.19497680664062,47.90147018432617,64.14104461669922
2022-01-26,156.11886596679688,138.87249755859375,41.228248596191406,110.80179595947266,130.5261993408203,128.1736297607422,306.6692199707031,320.77447509765625,132.6942596435547,52.53208923339844,209.7694091796875,336.0399475097656,292.3359069824219,285.81866455078125,35.970001220703125,22.72674560546875,148.2239990234375,198.93460083007812,48.39308166503906,63.4904670715332
2022-01-27,155.6593780517578,139.6374969482422,40.842002868652344,113.03968811035156,132.3043212890625,127.94751739501953,305.1926574707031,320.0113220214844,130.35292053222656,52.5761604309082,207.77378845214844,341.76312255859375,292.3458557128906,288.8337707519531,38.66999816894531,21.900388717651367,148.0841064453125,199.20516967773438,48.053409576416016,64.30367279052734
2022-01-28,166.5209197998047,143.97799682617188,41.201297760009766,109.06491088867188,135.44044494628906,132.25790405273438,310.5442199707031,329.08831787109375,131.51913452148438,53.62503433227539,216.10569763183594,372.943359375,299.36077880859375,296.94476318359375,38.43600082397461,22.794614791870117,150.96939086914062,220.31910705566406,48.43777084350586,64.4406509399414
2022-01-31,170.87142944335938,149.57350158691406,41.44382095336914,109.6661376953125,139.6806182861328,134.1943817138672,317.4081726074219,329.4833679199219,133.30430603027344,53.77487564086914,218.2760467529297,376.716552734375,310.82086181640625,299.56494140625,42.7140007019043,24.437334060668945,151.7125701904297,218.5507354736328,48.08916473388672,65.0227279663086
2022-02-01,170.70518493652344,151.19349670410156,42.16238784790039,112.55538177490234,141.16561889648438,136.51568603515625,325.802490234375,331.02764892578125,135.59178161621094,53.37824630737305,219.19566345214844,382.2545166015625,316.51617431640625,297.42633056640625,45.7130012512207,24.589035034179688,150.6808319091797,224.53219604492188,49.698097229003906,69.19153594970703
2022-02-02,171.9076690673828,150.6125030517578,42.11748504638672,113.07308959960938,139.33865356445312,146.78680419921875,324.9075927734375,335.5437316894531,134.5063934326172,53.924720764160156,219.8946075439453,386.8271179199219,320.4850158691406,301.9538269042969,42.948001861572266,25.19183349609375,153.41751098632812,227.48915100097656,49.993072509765625,69.01176452636719
2022-02-03,169.03338623046875,138.8455047607422,41.70429611206055,112.0627212524414,136.8082733154297,141.9170684814453,321.1669006347656,327.5350341796875,133.39401245117188,54.30372619628906,215.29640197753906,380.314208984375,235.90869140625,290.1920471191406,40.560001373291016,23.900405883789062,153.33004760742188,223.7398223876953,49.535160064697266,68.20710754394531
2022-02-04,168.74960327148438,157.63949584960938,43.366004943847656,113.46558380126953,138.75247192382812,142.118408203125,328.97052001953125,322.9203186035156,136.8566436767578,53.73080825805664,210.6614532470703,372.64111328125,235.2439422607422,294.7099609375,41.016998291015625,24.27066993713379,150.81202697753906,220.69598388671875,50.576690673828125,69.6880111694336
2022-02-07,168.03500366210938,157.9355010986328,43.572601318359375,115.69513702392578,139.23117065429688,138.05995178222656,329.462646484375,320.8372802734375,137.31422424316406,54.29490280151367,208.7761993408203,366.722900390625,223.1587677001953,289.9030456542969,40.209999084472656,24.678855895996094,150.2174835205078,219.50738525390625,51.474552154541016,70.52690124511719
